ECGEpoch,ECGTimestamp,ECGValue
1755694593.550648,20 Aug 2025 at 14:56:33,-31
1755694593.550648,20 Aug 2025 at 14:56:33,-31
1755694593.550648,20 Aug 2025 at 14:56:33,-40
1755694593.550648,20 Aug 2025 at 14:56:33,-34
1755694593.550648,20 Aug 2025 at 14:56:33,118
1755694593.550648,20 Aug 2025 at 14:56:33,510
1755694593.550648,20 Aug 2025 at 14:56:33,951
1755694593.550648,20 Aug 2025 at 14:56:33,1044
1755694593.550648,20 Aug 2025 at 14:56:33,524
1755694593.550648,20 Aug 2025 at 14:56:33,-435
1755694593.550648,20 Aug 2025 at 14:56:33,-946
1755694593.550648,20 Aug 2025 at 14:56:33,-540
1755694593.550648,20 Aug 2025 at 14:56:33,-129
1755694593.550648,20 Aug 2025 at 14:56:33,-156
1755694593.550648,20 Aug 2025 at 14:56:33,-106
1755694593.550648,20 Aug 2025 at 14:56:33,2
1755694593.550648,20 Aug 2025 at 14:56:33,-34
1755694593.550648,20 Aug 2025 at 14:56:33,-47
1755694593.550648,20 Aug 2025 at 14:56:33,4
1755694593.550648,20 Aug 2025 at 14:56:33,6
1755694593.550648,20 Aug 2025 at 14:56:33,-13
1755694593.550648,20 Aug 2025 at 14:56:33,2
1755694593.550648,20 Aug 2025 at 14:56:33,20
1755694593.550648,20 Aug 2025 at 14:56:33,22
1755694593.550648,20 Aug 2025 at 14:56:33,34
1755694593.550648,20 Aug 2025 at 14:56:33,54
1755694593.550648,20 Aug 2025 at 14:56:33,68
1755694593.550648,20 Aug 2025 at 14:56:33,81
1755694593.550648,20 Aug 2025 at 14:56:33,93
1755694593.550648,20 Aug 2025 at 14:56:33,118
1755694593.550648,20 Aug 2025 at 14:56:33,147
1755694593.550648,20 Aug 2025 at 14:56:33,163
1755694593.550648,20 Aug 2025 at 14:56:33,188
1755694593.550648,20 Aug 2025 at 14:56:33,229
1755694593.550648,20 Aug 2025 at 14:56:33,247
1755694593.550648,20 Aug 2025 at 14:56:33,261
1755694593.550648,20 Aug 2025 at 14:56:33,281
1755694593.550648,20 Aug 2025 at 14:56:33,286
1755694593.550648,20 Aug 2025 at 14:56:33,270
1755694593.550648,20 Aug 2025 at 14:56:33,263
1755694593.550648,20 Aug 2025 at 14:56:33,249
1755694593.550648,20 Aug 2025 at 14:56:33,217
1755694593.550648,20 Aug 2025 at 14:56:33,181
1755694593.550648,20 Aug 2025 at 14:56:33,131
1755694593.550648,20 Aug 2025 at 14:56:33,72
1755694593.550648,20 Aug 2025 at 14:56:33,20
1755694593.550648,20 Aug 2025 at 14:56:33,-20
1755694593.550648,20 Aug 2025 at 14:56:33,-59
1755694593.550648,20 Aug 2025 at 14:56:33,-90
1755694594.091621,20 Aug 2025 at 14:56:34,-97
1755694594.091621,20 Aug 2025 at 14:56:34,-95
1755694594.091621,20 Aug 2025 at 14:56:34,-99
1755694594.091621,20 Aug 2025 at 14:56:34,-106
1755694594.091621,20 Aug 2025 at 14:56:34,-102
1755694594.091621,20 Aug 2025 at 14:56:34,-88
1755694594.091621,20 Aug 2025 at 14:56:34,-88
1755694594.091621,20 Aug 2025 at 14:56:34,-88
1755694594.091621,20 Aug 2025 at 14:56:34,-65
1755694594.091621,20 Aug 2025 at 14:56:34,-52
1755694594.091621,20 Aug 2025 at 14:56:34,-52
1755694594.091621,20 Aug 2025 at 14:56:34,-27
1755694594.091621,20 Aug 2025 at 14:56:34,4
1755694594.091621,20 Aug 2025 at 14:56:34,-4
1755694594.091621,20 Aug 2025 at 14:56:34,-24
1755694594.091621,20 Aug 2025 at 14:56:34,-29
1755694594.091621,20 Aug 2025 at 14:56:34,-34
1755694594.091621,20 Aug 2025 at 14:56:34,-38
1755694594.091621,20 Aug 2025 at 14:56:34,-47
1755694594.091621,20 Aug 2025 at 14:56:34,-61
1755694594.091621,20 Aug 2025 at 14:56:34,-65
1755694594.091621,20 Aug 2025 at 14:56:34,-65
1755694594.091621,20 Aug 2025 at 14:56:34,-59
1755694594.091621,20 Aug 2025 at 14:56:34,-47
1755694594.091621,20 Aug 2025 at 14:56:34,-40
1755694594.091621,20 Aug 2025 at 14:56:34,-49
1755694594.091621,20 Aug 2025 at 14:56:34,-63
1755694594.091621,20 Aug 2025 at 14:56:34,-70
1755694594.091621,20 Aug 2025 at 14:56:34,-68
1755694594.091621,20 Aug 2025 at 14:56:34,-68
1755694594.091621,20 Aug 2025 at 14:56:34,-74
1755694594.091621,20 Aug 2025 at 14:56:34,-84
1755694594.091621,20 Aug 2025 at 14:56:34,-86
1755694594.091621,20 Aug 2025 at 14:56:34,-99
1755694594.091621,20 Aug 2025 at 14:56:34,-108
1755694594.091621,20 Aug 2025 at 14:56:34,-93
1755694594.091621,20 Aug 2025 at 14:56:34,-77
1755694594.091621,20 Aug 2025 at 14:56:34,-79
1755694594.091621,20 Aug 2025 at 14:56:34,-72
1755694594.091621,20 Aug 2025 at 14:56:34,-56
1755694594.091621,20 Aug 2025 at 14:56:34,-56
1755694594.091621,20 Aug 2025 at 14:56:34,-72
1755694594.091621,20 Aug 2025 at 14:56:34,-93
1755694594.091621,20 Aug 2025 at 14:56:34,-97
1755694594.091621,20 Aug 2025 at 14:56:34,-93
1755694594.091621,20 Aug 2025 at 14:56:34,-95
1755694594.091621,20 Aug 2025 at 14:56:34,-97
1755694594.091621,20 Aug 2025 at 14:56:34,-88
1755694594.091621,20 Aug 2025 at 14:56:34,-86
1755694594.091621,20 Aug 2025 at 14:56:34,-99
1755694594.091621,20 Aug 2025 at 14:56:34,-65
1755694594.091621,20 Aug 2025 at 14:56:34,163
1755694594.091621,20 Aug 2025 at 14:56:34,610
