RREpoch,RRTimestamp,RRValue
1755694665.250351,20 Aug 2025 at 14:57:45,0.7802734375
1755694666.240432,20 Aug 2025 at 14:57:46,0.78125
1755694667.263274,20 Aug 2025 at 14:57:47,0.802734375
1755694667.263274,20 Aug 2025 at 14:57:47,0.8251953125
1755694668.2505841,20 Aug 2025 at 14:57:48,0.8173828125
1755694669.270125,20 Aug 2025 at 14:57:49,0.7626953125
1755694670.230171,20 Aug 2025 at 14:57:50,0.775390625
1755694670.230171,20 Aug 2025 at 14:57:50,0.767578125
1755694671.250524,20 Aug 2025 at 14:57:51,0.767578125
1755694672.2401571,20 Aug 2025 at 14:57:52,0.7294921875
1755694673.230547,20 Aug 2025 at 14:57:53,0.7421875
1755694674.2509809,20 Aug 2025 at 14:57:54,0.771484375
1755694674.2509809,20 Aug 2025 at 14:57:54,0.8203125
1755694675.24045,20 Aug 2025 at 14:57:55,0.84765625
1755694676.233512,20 Aug 2025 at 14:57:56,0.84375
1755694677.2502608,20 Aug 2025 at 14:57:57,0.8203125
1755694678.2401052,20 Aug 2025 at 14:57:58,0.8212890625
1755694678.2401052,20 Aug 2025 at 14:57:58,0.830078125
1755694679.230554,20 Aug 2025 at 14:57:59,0.8173828125
1755694680.250345,20 Aug 2025 at 14:58:00,0.7724609375
1755694681.2404351,20 Aug 2025 at 14:58:01,0.7587890625
1755694681.2404351,20 Aug 2025 at 14:58:01,0.748046875
1755694682.230664,20 Aug 2025 at 14:58:02,0.75
1755694683.2505388,20 Aug 2025 at 14:58:03,0.736328125
1755694684.2404308,20 Aug 2025 at 14:58:04,0.740234375
1755694685.2300348,20 Aug 2025 at 14:58:05,0.8115234375
1755694686.280301,20 Aug 2025 at 14:58:06,0.8701171875
1755694686.280301,20 Aug 2025 at 14:58:06,0.880859375
1755694687.27053,20 Aug 2025 at 14:58:07,0.88671875
1755694688.2305179,20 Aug 2025 at 14:58:08,0.8291015625
1755694689.250339,20 Aug 2025 at 14:58:09,0.806640625
1755694689.250339,20 Aug 2025 at 14:58:09,0.75
1755694690.240514,20 Aug 2025 at 14:58:10,0.7177734375
1755694691.231676,20 Aug 2025 at 14:58:11,0.708984375
1755694692.25039,20 Aug 2025 at 14:58:12,0.7333984375
1755694693.240309,20 Aug 2025 at 14:58:13,0.78125
1755694693.240309,20 Aug 2025 at 14:58:13,0.76953125
1755694694.23355,20 Aug 2025 at 14:58:14,0.80859375
1755694695.250639,20 Aug 2025 at 14:58:15,0.8486328125
1755694696.240172,20 Aug 2025 at 14:58:16,0.8759765625
1755694697.230262,20 Aug 2025 at 14:58:17,0.8779296875
1755694698.2505069,20 Aug 2025 at 14:58:18,0.830078125
1755694699.24022,20 Aug 2025 at 14:58:19,0.8447265625
1755694699.24022,20 Aug 2025 at 14:58:19,0.8466796875
1755694700.230012,20 Aug 2025 at 14:58:20,0.8330078125
1755694701.250565,20 Aug 2025 at 14:58:21,0.826171875
1755694702.2405381,20 Aug 2025 at 14:58:22,0.7666015625
1755694702.2405381,20 Aug 2025 at 14:58:22,0.76171875
1755694703.233815,20 Aug 2025 at 14:58:23,0.75390625
1755694704.250229,20 Aug 2025 at 14:58:24,0.77734375
1755694705.240278,20 Aug 2025 at 14:58:25,0.77734375
1755694706.230452,20 Aug 2025 at 14:58:26,0.7607421875
1755694706.230452,20 Aug 2025 at 14:58:26,0.8076171875
1755694707.250494,20 Aug 2025 at 14:58:27,0.8193359375
1755694708.240336,20 Aug 2025 at 14:58:28,0.8291015625
1755694709.230361,20 Aug 2025 at 14:58:29,0.8544921875
1755694710.2505841,20 Aug 2025 at 14:58:30,0.814453125
1755694710.2505841,20 Aug 2025 at 14:58:30,0.818359375
1755694711.240598,20 Aug 2025 at 14:58:31,0.8076171875
1755694712.230264,20 Aug 2025 at 14:58:32,0.783203125
1755694713.2504668,20 Aug 2025 at 14:58:33,0.7412109375
1755694713.2504668,20 Aug 2025 at 14:58:33,0.740234375
1755694714.240399,20 Aug 2025 at 14:58:34,0.74609375
1755694715.230439,20 Aug 2025 at 14:58:35,0.73828125
1755694716.25037,20 Aug 2025 at 14:58:36,0.73046875
1755694717.240508,20 Aug 2025 at 14:58:37,0.7685546875
1755694717.240508,20 Aug 2025 at 14:58:37,0.796875
1755694718.230342,20 Aug 2025 at 14:58:38,0.8447265625
1755694719.280333,20 Aug 2025 at 14:58:39,0.8037109375
1755694720.2702699,20 Aug 2025 at 14:58:40,0.8232421875
1755694721.230249,20 Aug 2025 at 14:58:41,0.8291015625
1755694722.250897,20 Aug 2025 at 14:58:42,0.8662109375
1755694722.250897,20 Aug 2025 at 14:58:42,0.8515625
1755694723.27074,20 Aug 2025 at 14:58:43,0.8232421875
1755694724.230367,20 Aug 2025 at 14:58:44,0.8134765625
1755694725.250619,20 Aug 2025 at 14:58:45,0.8193359375
1755694726.240433,20 Aug 2025 at 14:58:46,0.8203125
1755694726.240433,20 Aug 2025 at 14:58:46,0.7919921875
1755694727.2304811,20 Aug 2025 at 14:58:47,0.7978515625
1755694728.250561,20 Aug 2025 at 14:58:48,0.8056640625
1755694729.240818,20 Aug 2025 at 14:58:49,0.845703125
1755694730.233398,20 Aug 2025 at 14:58:50,0.8466796875
1755694731.250764,20 Aug 2025 at 14:58:51,0.8251953125
1755694731.250764,20 Aug 2025 at 14:58:51,0.814453125
1755694732.240542,20 Aug 2025 at 14:58:52,0.8203125
1755694733.230458,20 Aug 2025 at 14:58:53,0.8525390625
1755694734.250381,20 Aug 2025 at 14:58:54,0.8583984375
1755694735.24053,20 Aug 2025 at 14:58:55,0.8427734375
1755694736.230722,20 Aug 2025 at 14:58:56,0.8193359375
1755694736.230722,20 Aug 2025 at 14:58:56,0.802734375
1755694737.250602,20 Aug 2025 at 14:58:57,0.8154296875
1755694738.24088,20 Aug 2025 at 14:58:58,0.822265625
1755694739.2338262,20 Aug 2025 at 14:58:59,0.79296875
1755694740.252387,20 Aug 2025 at 14:59:00,0.8046875
1755694740.252387,20 Aug 2025 at 14:59:00,0.814453125
1755694741.240715,20 Aug 2025 at 14:59:01,0.8408203125
1755694742.230578,20 Aug 2025 at 14:59:02,0.837890625
1755694743.2505,20 Aug 2025 at 14:59:03,0.76953125
1755694744.2405028,20 Aug 2025 at 14:59:04,0.787109375
1755694744.2405028,20 Aug 2025 at 14:59:04,0.8046875
1755694745.230483,20 Aug 2025 at 14:59:05,0.8330078125
1755694746.250743,20 Aug 2025 at 14:59:06,0.8232421875
1755694747.2405539,20 Aug 2025 at 14:59:07,0.8076171875
1755694748.2301679,20 Aug 2025 at 14:59:08,0.8310546875
1755694749.250948,20 Aug 2025 at 14:59:09,0.8369140625
1755694749.250948,20 Aug 2025 at 14:59:09,0.8447265625
1755694750.240566,20 Aug 2025 at 14:59:10,0.791015625
1755694751.232611,20 Aug 2025 at 14:59:11,0.779296875
1755694752.28317,20 Aug 2025 at 14:59:12,0.791015625
1755694752.28317,20 Aug 2025 at 14:59:12,0.7998046875
1755694753.273354,20 Aug 2025 at 14:59:13,0.783203125
1755694754.260754,20 Aug 2025 at 14:59:14,0.75
1755694755.2510219,20 Aug 2025 at 14:59:15,0.7607421875
1755694756.24091,20 Aug 2025 at 14:59:16,0.779296875
1755694757.2340322,20 Aug 2025 at 14:59:17,0.8291015625
1755694757.2340322,20 Aug 2025 at 14:59:17,0.833984375
1755694758.250669,20 Aug 2025 at 14:59:18,0.826171875
1755694759.240577,20 Aug 2025 at 14:59:19,0.8544921875
1755694760.230606,20 Aug 2025 at 14:59:20,0.853515625
1755694761.250555,20 Aug 2025 at 14:59:21,0.8408203125
1755694761.250555,20 Aug 2025 at 14:59:21,0.7724609375
1755694762.2406569,20 Aug 2025 at 14:59:22,0.7705078125
1755694763.231643,20 Aug 2025 at 14:59:23,0.767578125
1755694764.251039,20 Aug 2025 at 14:59:24,0.78515625
1755694765.2404509,20 Aug 2025 at 14:59:25,0.8115234375
1755694765.2404509,20 Aug 2025 at 14:59:25,0.81640625
1755694766.230545,20 Aug 2025 at 14:59:26,0.7587890625
1755694767.2509189,20 Aug 2025 at 14:59:27,0.73828125
1755694768.24066,20 Aug 2025 at 14:59:28,0.8056640625
1755694769.230949,20 Aug 2025 at 14:59:29,0.8671875
1755694770.250982,20 Aug 2025 at 14:59:30,0.91015625
1755694770.250982,20 Aug 2025 at 14:59:30,0.845703125
1755694771.240994,20 Aug 2025 at 14:59:31,0.8203125
1755694772.231077,20 Aug 2025 at 14:59:32,0.78515625
